image,ground_truth,filled_only,expected_capacity,predicted_capacity,capacity_correct,expected_slots,predicted_slots,expected_occupied,predicted_occupied,false_empty,flavor_count_abs_error,exact_flavor_counts,review_slots,seconds
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render00.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2019_size6_render00.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.30469820322468877
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render01.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2019_size6_render01.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.2576999990269542
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render02.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2019_size6_render02.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.26021148171275854
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render00.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2020_size6_render00.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.31513636000454426
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render01.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2020_size6_render01.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.3545182538218796
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render02.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2020_size6_render02.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.27076435973867774
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2021_size6_render00.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2021_size6_render00.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.3163452921435237
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2021_size6_render01.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2021_size6_render01.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.310663775075227
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2021_size6_render02.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2021_size6_render02.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.29067900963127613
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2022_size16_render00.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2022_size16_render00.csv,True,16,16,True,16,16,16,16,0,0,True,0,0.5557003510184586
