file,source_path,width,height,valid,flavor_id,flavor_name,image_scope,usable,source_group,notes
IMG_1959.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1959.jpg,3024,4032,True,,,,,,
IMG_1960.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1960.jpg,3024,4032,True,,,,,,
IMG_1961.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1961.jpg,3024,4032,True,,,,,,
IMG_1963.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1963.jpg,3024,4032,True,,,,,,
IMG_1964.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1964.jpg,3024,4032,True,,,,,,
IMG_1965.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1965.jpg,3024,4032,True,,,,,,
IMG_1966.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1966.jpg,3024,4032,True,,,,,,
IMG_1967.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1967.jpg,3024,4032,True,,,,,,
IMG_1968.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1968.jpg,3024,4032,True,,,,,,
IMG_1969.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1969.jpg,3024,4032,True,,,,,,
IMG_1970.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1970.jpg,3024,4032,True,,,,,,
IMG_1971.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1971.jpg,3024,4032,True,,,,,,
IMG_1972.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1972.jpg,3024,4032,True,,,,,,
IMG_1973.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1973.jpg,3024,4032,True,,,,,,
IMG_1974.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1974.jpg,3024,4032,True,,,,,,
IMG_1975.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1975.jpg,3024,4032,True,,,,,,
IMG_1976.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1976.jpg,3024,4032,True,,,,,,
IMG_1977.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1977.jpg,3024,4032,True,,,,,,
IMG_1978.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1978.jpg,3024,4032,True,,,,,,
IMG_1979.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1979.jpg,3024,4032,True,,,,,,
IMG_1980.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1980.jpg,3024,4032,True,,,,,,
IMG_1981.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1981.jpg,3024,4032,True,,,,,,
IMG_1982.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1982.jpg,3024,4032,True,,,,,,
IMG_1983.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1983.jpg,3024,4032,True,,,,,,
IMG_1984.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1984.jpg,3024,4032,True,,,,,,
IMG_1985.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1985.jpg,4032,3024,True,,,,,,
IMG_1986.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1986.jpg,4032,3024,True,,,,,,
IMG_1987.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1987.jpg,4032,3024,True,,,,,,
IMG_1988.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1988.jpg,4032,3024,True,,,,,,
IMG_1989.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1989.jpg,4032,3024,True,,,,,,
IMG_1990.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1990.jpg,3024,4032,True,,,,,,
IMG_1991.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1991.jpg,3024,4032,True,,,,,,
IMG_1992.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1992.jpg,3024,4032,True,,,,,,
IMG_1993.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1993.jpg,3024,4032,True,,,,,,
IMG_1994.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1994.jpg,3024,4032,True,,,,,,
IMG_1995.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1995.jpg,3024,4032,True,,,,,,
IMG_1996.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1996.jpg,3024,4032,True,,,,,,
IMG_1997.jpg,/homes/s959m963/Chocolathon/data/chocolates/raw/flavor_trays/_unlabeled/IMG_1997.jpg,3024,4032,True,,,,,,
