file,flavor_name,current_rows,current_cols,current_centers,annotation_mode,review_status,notes
IMG_1959.jpg,Tea & Honey,8,4,32,,pending,
IMG_1960.jpg,Bananas Foster,8,4,32,,pending,
IMG_1961.jpg,Dulce de Leche,8,4,32,,pending,
IMG_1963.jpg,Pumpkin Spice Latte,8,4,32,,pending,
IMG_1964.jpg,Caramel Apple Cider,8,4,32,,pending,
IMG_1965.jpg,Manhattan,8,4,32,,pending,
IMG_1966.jpg,Peanut Butter Caramel,8,4,32,,pending,
IMG_1967.jpg,Salted Caramel,8,4,32,,pending,
IMG_1968.jpg,Turtle,8,4,32,,pending,
IMG_1969.jpg,Raspberry,8,4,32,,pending,
IMG_1970.jpg,Amaretto,8,4,32,,pending,
IMG_1971.jpg,S'mores,8,4,32,,pending,
IMG_1972.jpg,Espresso Martini,8,4,32,,pending,
IMG_1973.jpg,Crème Brûlée,8,4,32,,pending,
IMG_1974.jpg,Champagne,8,4,32,,pending,
IMG_1975.jpg,Grey Salt Caramel,8,4,32,,pending,
IMG_1976.jpg,Brownie Batter,8,4,32,,pending,
IMG_1977.jpg,Old Fashioned,8,4,32,,pending,
IMG_1978.jpg,Amaretto,8,4,32,,pending,
IMG_1979.jpg,Bourbon,8,4,32,,pending,
IMG_1980.jpg,Tequila,8,4,32,,pending,
IMG_1981.jpg,Tequila,8,4,32,,pending,
IMG_1982.jpg,Chocolate Cake,8,4,32,,pending,
IMG_1983.jpg,Whiskey,8,4,32,,pending,
IMG_1984.jpg,Bourbon,8,4,32,,pending,
IMG_1985.jpg,S'mores,8,4,32,,pending,
IMG_1986.jpg,Maple Cream,8,4,32,,pending,
IMG_1987.jpg,Pistachio,8,4,32,,pending,
IMG_1988.jpg,Cheesecake,8,4,32,,pending,
IMG_1989.jpg,Creamsicle,8,4,32,,pending,
IMG_1990.jpg,Strawberry Shortcake,8,4,32,,pending,
IMG_1991.jpg,Lemon,8,4,32,,pending,
IMG_1992.jpg,Cookies & Cream,8,4,32,,pending,
IMG_1994.jpg,Confetti Cake,8,4,32,,pending,
IMG_1995.jpg,Key Lime Pie,8,4,32,,pending,
IMG_1996.jpg,Creamsicle,8,4,32,,pending,
IMG_1997.jpg,Pineapple & Moscato,8,4,32,,pending,
