file,relative_path,flavor_id,family,flavor_name,confidence,status,notes
IMG_1959.jpg,data/chocolates/cropped_trays/IMG_1959.jpg,truffle_tea_honey,truffle,Tea & Honey,high,mapped,
IMG_1960.jpg,data/chocolates/cropped_trays/IMG_1960.jpg,truffle_bananas_foster,truffle,Bananas Foster,high,mapped,
IMG_1961.jpg,data/chocolates/cropped_trays/IMG_1961.jpg,truffle_dulce_de_leche,truffle,Dulce de Leche,high,mapped,
IMG_1963.jpg,data/chocolates/cropped_trays/IMG_1963.jpg,truffle_pumpkin_spice_latte,truffle,Pumpkin Spice Latte,high,mapped,
IMG_1964.jpg,data/chocolates/cropped_trays/IMG_1964.jpg,truffle_caramel_apple_cider,truffle,Caramel Apple Cider,high,mapped,
IMG_1965.jpg,data/chocolates/cropped_trays/IMG_1965.jpg,truffle_manhattan,truffle,Manhattan,high,mapped,
IMG_1966.jpg,data/chocolates/cropped_trays/IMG_1966.jpg,truffle_peanut_butter_caramel,truffle,Peanut Butter Caramel,high,mapped,
IMG_1967.jpg,data/chocolates/cropped_trays/IMG_1967.jpg,truffle_salted_caramel,truffle,Salted Caramel,high,mapped,
IMG_1968.jpg,data/chocolates/cropped_trays/IMG_1968.jpg,truffle_turtle,truffle,Turtle,high,mapped,
IMG_1969.jpg,data/chocolates/cropped_trays/IMG_1969.jpg,truffle_raspberry,truffle,Raspberry,high,mapped,
IMG_1970.jpg,data/chocolates/cropped_trays/IMG_1970.jpg,truffle_amaretto,truffle,Amaretto,high,mapped,
IMG_1971.jpg,data/chocolates/cropped_trays/IMG_1971.jpg,truffle_s_mores,truffle,S'mores,high,mapped,
IMG_1972.jpg,data/chocolates/cropped_trays/IMG_1972.jpg,truffle_espresso_martini,truffle,Espresso Martini,high,mapped,
IMG_1973.jpg,data/chocolates/cropped_trays/IMG_1973.jpg,truffle_creme_brulee,truffle,Crème Brûlée,high,mapped,
IMG_1974.jpg,data/chocolates/cropped_trays/IMG_1974.jpg,truffle_champagne,truffle,Champagne,high,mapped,
IMG_1975.jpg,data/chocolates/cropped_trays/IMG_1975.jpg,truffle_grey_salt_caramel,truffle,Grey Salt Caramel,high,mapped,
IMG_1976.jpg,data/chocolates/cropped_trays/IMG_1976.jpg,truffle_brownie_batter,truffle,Brownie Batter,high,mapped,
IMG_1977.jpg,data/chocolates/cropped_trays/IMG_1977.jpg,cocoashot_old_fashioned,cocoashot,Old Fashioned,high,mapped,
IMG_1978.jpg,data/chocolates/cropped_trays/IMG_1978.jpg,cocoashot_amaretto,cocoashot,Amaretto,high,mapped,
IMG_1979.jpg,data/chocolates/cropped_trays/IMG_1979.jpg,cocoashot_bourbon,cocoashot,Bourbon,high,mapped,
IMG_1980.jpg,data/chocolates/cropped_trays/IMG_1980.jpg,cocoashot_tequila,cocoashot,Tequila,high,mapped,
IMG_1981.jpg,data/chocolates/cropped_trays/IMG_1981.jpg,cocoashot_tequila,cocoashot,Tequila,high,mapped,
IMG_1982.jpg,data/chocolates/cropped_trays/IMG_1982.jpg,cocoashot_chocolate_cake,cocoashot,Chocolate Cake,high,mapped,
IMG_1983.jpg,data/chocolates/cropped_trays/IMG_1983.jpg,cocoashot_whiskey,cocoashot,Whiskey,high,mapped,
IMG_1984.jpg,data/chocolates/cropped_trays/IMG_1984.jpg,cocoashot_bourbon,cocoashot,Bourbon,high,mapped,
IMG_1985.jpg,data/chocolates/cropped_trays/IMG_1985.jpg,truffle_s_mores,truffle,S'mores,high,mapped,
IMG_1986.jpg,data/chocolates/cropped_trays/IMG_1986.jpg,truffle_maple_cream,truffle,Maple Cream,high,mapped,
IMG_1987.jpg,data/chocolates/cropped_trays/IMG_1987.jpg,truffle_pistachio,truffle,Pistachio,high,mapped,
IMG_1988.jpg,data/chocolates/cropped_trays/IMG_1988.jpg,truffle_cheesecake,truffle,Cheesecake,high,mapped,
IMG_1989.jpg,data/chocolates/cropped_trays/IMG_1989.jpg,truffle_creamsicle,truffle,Creamsicle,high,mapped,
IMG_1990.jpg,data/chocolates/cropped_trays/IMG_1990.jpg,truffle_strawberry_shortcake,truffle,Strawberry Shortcake,high,mapped,
IMG_1991.jpg,data/chocolates/cropped_trays/IMG_1991.jpg,truffle_lemon,truffle,Lemon,high,mapped,
IMG_1992.jpg,data/chocolates/cropped_trays/IMG_1992.jpg,truffle_cookies_cream,truffle,Cookies & Cream,high,mapped,
IMG_1993.jpg,data/chocolates/cropped_trays/IMG_1993.jpg,__excluded__,special,Chocolate Dinosaur,high,exclude,Excluded because product is not present in the official menu
IMG_1994.jpg,data/chocolates/cropped_trays/IMG_1994.jpg,truffle_confetti_cake,truffle,Confetti Cake,high,mapped,
IMG_1995.jpg,data/chocolates/cropped_trays/IMG_1995.jpg,truffle_key_lime_pie,truffle,Key Lime Pie,high,mapped,
IMG_1996.jpg,data/chocolates/cropped_trays/IMG_1996.jpg,truffle_creamsicle,truffle,Creamsicle,high,mapped,
IMG_1997.jpg,data/chocolates/cropped_trays/IMG_1997.jpg,truffle_pineapple_moscato,truffle,Pineapple & Moscato,high,mapped,
