file,flavor_name,current_rows,current_cols,current_centers,annotation_mode,review_status,notes
IMG_1959.jpg,Tea & Honey,8,4,32,regular_grid,reviewed,
IMG_1960.jpg,Bananas Foster,,,30,irregular_manual,reviewed,
IMG_1961.jpg,Dulce de Leche,,,29,irregular_manual,reviewed,
IMG_1963.jpg,Pumpkin Spice Latte,,,29,irregular_manual,reviewed,
IMG_1964.jpg,Caramel Apple Cider,6,4,24,regular_grid,reviewed,
IMG_1965.jpg,Manhattan,,,30,irregular_manual,reviewed,
IMG_1966.jpg,Peanut Butter Caramel,7,4,28,regular_grid,reviewed,
IMG_1967.jpg,Salted Caramel,7,4,28,regular_grid,reviewed,
IMG_1968.jpg,Turtle,6,4,24,regular_grid,reviewed,
IMG_1969.jpg,Raspberry,6,4,24,regular_grid,reviewed,
IMG_1970.jpg,Amaretto,7,4,28,regular_grid,reviewed,
IMG_1971.jpg,S'mores,6,4,24,regular_grid,reviewed,
IMG_1972.jpg,Espresso Martini,6,4,24,regular_grid,reviewed,
IMG_1973.jpg,Crème Brûlée,7,4,28,regular_grid,reviewed,
IMG_1974.jpg,Champagne,,,24,irregular_manual,reviewed,
IMG_1975.jpg,Grey Salt Caramel,4,4,16,regular_grid,reviewed,
IMG_1976.jpg,Brownie Batter,6,4,24,regular_grid,reviewed,
IMG_1977.jpg,Old Fashioned,,,24,irregular_manual,reviewed,
IMG_1978.jpg,Amaretto,3,4,12,regular_grid,reviewed,
IMG_1979.jpg,Bourbon,,,20,irregular_manual,reviewed,
IMG_1980.jpg,Tequila,,,22,irregular_manual,reviewed,
IMG_1981.jpg,Tequila,,,22,irregular_manual,reviewed,
IMG_1982.jpg,Chocolate Cake,4,4,16,regular_grid,reviewed,
IMG_1983.jpg,Whiskey,4,4,16,regular_grid,reviewed,
IMG_1984.jpg,Bourbon,3,4,12,regular_grid,reviewed,
IMG_1985.jpg,S'mores,7,4,28,regular_grid,reviewed,
IMG_1986.jpg,Maple Cream,4,6,24,regular_grid,reviewed,
IMG_1987.jpg,Pistachio,4,6,24,regular_grid,reviewed,
IMG_1988.jpg,Cheesecake,7,4,28,regular_grid,reviewed,
IMG_1989.jpg,Creamsicle,7,4,28,regular_grid,reviewed,
IMG_1990.jpg,Strawberry Shortcake,6,4,24,regular_grid,reviewed,
IMG_1991.jpg,Lemon,5,4,20,regular_grid,reviewed,
IMG_1992.jpg,Cookies & Cream,7,4,28,regular_grid,reviewed,
IMG_1994.jpg,Confetti Cake,7,4,28,regular_grid,reviewed,
IMG_1995.jpg,Key Lime Pie,7,4,28,regular_grid,reviewed,
IMG_1996.jpg,Creamsicle,7,4,28,regular_grid,reviewed,
IMG_1997.jpg,Pineapple & Moscato,7,3,21,regular_grid,reviewed,
