epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,seconds
1,0.49862233230045866,0.8571428571428571,0.7347336530685424,0.8,17.42758868681267
2,0.5261121349675315,0.8571428571428571,0.706165099143982,0.8,9.813079074956477
3,0.5849860736301967,0.8214285714285714,0.7030354380607605,0.8,9.407922772224993
4,0.503887244633266,0.8571428571428571,0.668578815460205,0.8,9.391309501137584
5,0.4647469179970877,0.8571428571428571,0.6747316837310791,0.8,9.328299741260707
6,0.49267657314028057,0.8392857142857143,0.6541404485702514,0.8,9.41514657298103
7,0.4911373768533979,0.8571428571428571,0.6656015396118165,0.8,9.451724520884454
8,0.48834657669067383,0.8571428571428571,0.6526909112930298,0.8,9.553658819757402
9,0.4428130345685141,0.8571428571428571,0.649815583229065,0.8,9.474297909997404
10,0.4433603712490627,0.875,0.6918757438659668,0.8,9.534413523972034
11,0.4728996285370418,0.875,0.651454496383667,0.8,9.433756220154464
12,0.4329778126307896,0.875,0.6569780111312866,0.8,9.421387718990445
13,0.4458180580820356,0.8392857142857143,0.6632417917251587,0.8,9.37954966723919
14,0.4707410420690264,0.8571428571428571,0.6738339304924011,0.8,9.32377798203379
