epoch,train_loss,loss,error,error_30,error_50,lr_head,seconds
1,0.05241361493244767,0.04569727182388306,0.08646310493350029,0.11167566664516926,0.06125054322183132,0.00015,19.176819899119437
2,0.041128183559825025,0.039059191942214966,0.0746521377004683,0.08838375844061375,0.06092051696032286,0.00015,18.510406852699816
3,0.03643129331370195,0.03455518186092377,0.06815531477332115,0.07902909815311432,0.057281531393527985,0.00015,18.491905531380326
4,0.033546914579346776,0.03632243722677231,0.07156377891078591,0.08574875816702843,0.0573787996545434,0.00015,18.57517602806911
5,0.03233157400973141,0.031232759356498718,0.0632927012629807,0.07970469444990158,0.04688070807605982,0.00015,18.54745404375717
6,0.03063633564549188,0.03161884471774101,0.06373776402324438,0.07959790155291557,0.04787762649357319,0.00015,18.426976727787405
7,0.030136865641300876,0.03461892530322075,0.06783979758620262,0.08799953758716583,0.04768005758523941,0.00015,18.427974374964833
8,0.026922914509971935,0.030781028792262077,0.06306666973978281,0.0825984813272953,0.04353485815227032,0.00015,18.460248763207346
9,0.026066175429150462,0.03188828006386757,0.06482774438336492,0.07863094471395016,0.051024544052779675,0.00015,18.555914591997862
10,0.026714784015590947,0.03331708908081055,0.06731846602633595,0.08946584537625313,0.04517108667641878,0.00015,18.569391046650708
11,0.02529764889429013,0.03338691592216492,0.06724465917795897,0.0930932778865099,0.041396040469408035,5.9999999999999995e-05,18.554440706036985
12,0.02403559194256862,0.03273286297917366,0.06605362659320235,0.08960125781595707,0.042505995370447636,5.9999999999999995e-05,18.560316384304315
13,0.022281356776754063,0.03376613184809685,0.06884682737290859,0.0927804708480835,0.04491318389773369,5.9999999999999995e-05,18.594718829728663
14,0.02321135058688621,0.029315702617168427,0.06105383229441941,0.08007073402404785,0.042036930564790964,5.9999999999999995e-05,18.436556729022413
15,0.022446361952461302,0.0314285010099411,0.06388965295627713,0.08736392855644226,0.040415377356112,5.9999999999999995e-05,18.606172263156623
16,0.022994315212902922,0.03114941157400608,0.06412622146308422,0.08712774328887463,0.041124699637293816,5.9999999999999995e-05,18.605413772165775
17,0.02108411064061026,0.031958043575286865,0.06477832840755582,0.08998682536184788,0.03956983145326376,2.4e-05,18.56859921477735
18,0.02236700364543746,0.0323227196931839,0.0652655572630465,0.08902391418814659,0.041507200337946415,2.4e-05,18.59606908308342
19,0.02281406436425944,0.03190663829445839,0.06504388083703816,0.08946934528648853,0.040618416387587786,2.4e-05,18.625317162834108
20,0.022100816403205197,0.030283747240900993,0.06286994880065322,0.08666349574923515,0.039076401852071285,9.600000000000001e-06,18.647863185033202
21,0.02034410194028169,0.030416548252105713,0.062030655797570944,0.08389554545283318,0.04016576614230871,9.600000000000001e-06,18.62955082114786
