image,expected_capacity,predicted_capacity,capacity_correct,expected_slots,corner_error_pixels,corner_error_normalized,auto_slots_comparable,auto_expected_occupied,auto_predicted_occupied,auto_false_empty,auto_occupancy_correct,auto_flavor_correct,auto_count_abs_error,auto_exact_flavor_counts,assisted_slots_comparable,assisted_expected_occupied,assisted_predicted_occupied,assisted_false_empty,assisted_occupancy_correct,assisted_flavor_correct,assisted_count_abs_error,assisted_exact_flavor_counts
IMG_2019_size6_render00.jpg,6,6,True,6,183.7767791748047,0.0364636466616676,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2019_size6_render01.jpg,6,6,True,6,154.4987335205078,0.030654510619148374,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2019_size6_render02.jpg,6,6,True,6,155.7227783203125,0.030897376650855655,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2020_size6_render00.jpg,6,6,True,6,204.79827880859375,0.04063457912868924,True,6,6,0,6,5,2,False,True,6,6,0,6,6,0,True
IMG_2020_size6_render01.jpg,6,6,True,6,228.16571044921875,0.04527097429547991,True,6,6,0,6,5,2,False,True,6,6,0,6,6,0,True
IMG_2020_size6_render02.jpg,6,6,True,6,222.35873413085938,0.04411879645453559,True,6,6,0,6,4,4,False,True,6,6,0,6,6,0,True
IMG_2021_size6_render00.jpg,6,6,True,6,37.615577697753906,0.00746340827336387,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2021_size6_render01.jpg,6,6,True,6,34.84877014160156,0.00691443852015904,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2021_size6_render02.jpg,6,6,True,6,42.84556579589844,0.008501104324583023,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2022_size16_render00.jpg,16,16,True,16,106.52727508544922,0.021136364104255796,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2022_size16_render01.jpg,16,16,True,16,119.21712493896484,0.02365419145614382,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2022_size16_render02.jpg,16,16,True,16,156.79861450195312,0.031110836210704984,True,16,16,0,16,12,8,False,True,16,16,0,16,16,0,True
IMG_2023_size16_render00.jpg,16,16,True,16,74.48370361328125,0.014778512621682787,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2023_size16_render01.jpg,16,16,True,16,97.70840454101562,0.019386588202582464,True,16,16,0,16,14,2,False,True,16,16,0,16,16,0,True
IMG_2023_size16_render02.jpg,16,16,True,16,131.85299682617188,0.02616130889408172,True,16,16,0,16,13,4,False,True,16,16,0,16,16,0,True
IMG_2024_size16_render00.jpg,16,16,True,16,74.3475112915039,0.014751490335615854,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2024_size16_render01.jpg,16,16,True,16,55.953369140625,0.011101858956473214,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2024_size16_render02.jpg,16,16,True,16,56.7114372253418,0.01125226929074242,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2025_size16_render00.jpg,16,16,True,16,185.42678833007812,0.036791029430571054,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2025_size16_render01.jpg,16,16,True,16,118.46540832519531,0.02350504133436415,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2025_size16_render02.jpg,16,16,True,16,148.29421997070312,0.029423456343393477,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2026_size16_render00.jpg,16,16,True,16,46.179603576660156,0.009162619757273841,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2026_size16_render01.jpg,16,16,True,16,56.2626838684082,0.011163230926271469,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2026_size16_render02.jpg,16,16,True,16,119.80514526367188,0.02377086215549045,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2027_size30_render00.jpg,30,30,True,30,74.76403045654297,0.01483413302709186,True,30,30,0,30,30,0,True,True,30,30,0,30,30,0,True
IMG_2027_size30_render01.jpg,30,30,True,30,86.1782455444336,0.017098858242943174,True,30,30,0,30,30,0,True,True,30,30,0,30,30,0,True
IMG_2027_size30_render02.jpg,30,30,True,30,122.55921936035156,0.024317305428641182,True,30,30,0,30,30,0,True,True,30,30,0,30,30,0,True
IMG_2028_size30_render00.jpg,30,30,True,30,241.72232055664062,0.047960777888222346,True,30,30,0,30,21,6,False,True,30,30,0,30,30,0,True
IMG_2028_size30_render01.jpg,30,30,True,30,276.0980529785156,0.05478135971795945,True,30,30,0,30,19,10,False,True,30,30,0,30,30,0,True
IMG_2028_size30_render02.jpg,30,30,True,30,270.9432067871094,0.053758572775220115,True,30,30,0,30,8,26,False,True,30,30,0,30,30,0,True
IMG_2029_size30_render00.jpg,30,30,True,30,161.35696411132812,0.03201527065700955,True,30,30,0,30,25,6,False,True,30,30,0,30,30,0,True
IMG_2029_size30_render01.jpg,30,30,True,30,188.26596069335938,0.03735435728042845,True,30,30,0,30,24,8,False,True,30,30,0,30,30,0,True
IMG_2029_size30_render02.jpg,30,30,True,30,311.99755859375,0.06190427749875992,True,30,28,2,28,21,12,False,True,30,30,0,30,30,0,True
IMG_2030_size30_render00.jpg,30,30,True,30,489.96514892578125,0.0972153073265439,True,30,29,1,29,11,13,False,True,30,30,0,30,30,0,True
IMG_2030_size30_render01.jpg,30,30,True,30,407.84307861328125,0.08092124575660342,True,30,30,0,30,14,16,False,True,30,30,0,30,30,0,True
IMG_2030_size30_render02.jpg,30,30,True,30,311.0946350097656,0.061725125994001116,True,30,30,0,30,6,14,False,True,30,30,0,30,30,0,True
IMG_2031_size50_render00.jpg,50,50,True,50,174.1602325439453,0.03455560169522724,True,50,50,0,50,44,10,False,True,50,50,0,50,50,0,True
IMG_2031_size50_render01.jpg,50,50,True,50,236.35760498046875,0.04689635019453745,True,50,50,0,50,38,18,False,True,50,50,0,50,50,0,True
IMG_2031_size50_render02.jpg,50,50,True,50,219.06324768066406,0.04346493009536986,True,50,50,0,50,28,26,False,True,50,50,0,50,50,0,True
IMG_2032_size50_render00.jpg,50,50,True,50,344.8939208984375,0.06843133351159474,True,50,50,0,50,26,12,False,True,50,50,0,50,50,0,True
IMG_2032_size50_render01.jpg,50,50,True,50,212.62374877929688,0.04218725174192398,True,50,50,0,50,38,14,False,True,50,50,0,50,50,0,True
IMG_2032_size50_render02.jpg,50,50,True,50,353.0738830566406,0.07005434187631758,True,50,50,0,50,26,12,False,True,50,50,0,50,50,0,True
IMG_2033_size50_render00.jpg,50,50,True,50,184.6592254638672,0.03663873521108476,True,50,50,0,50,42,6,False,True,50,50,0,50,50,0,True
IMG_2033_size50_render01.jpg,50,50,True,50,168.07333374023438,0.033347883678617934,True,50,50,0,50,43,10,False,True,50,50,0,50,50,0,True
IMG_2033_size50_render02.jpg,50,50,True,50,235.56365966796875,0.04673882136269221,True,50,50,0,50,34,12,False,True,50,50,0,50,50,0,True
IMG_2034_size50_render00.jpg,50,50,True,50,207.0131072998047,0.04107402922615172,True,50,50,0,50,26,8,False,True,50,50,0,50,50,0,True
IMG_2034_size50_render01.jpg,50,50,True,50,236.3302001953125,0.046890912737165176,True,50,50,0,50,26,12,False,True,50,50,0,50,50,0,True
IMG_2034_size50_render02.jpg,50,50,True,50,231.2838592529297,0.04588965461367653,True,50,50,0,50,25,10,False,True,50,50,0,50,50,0,True
