image,source_file,box_size,render_index,row,column,slot_file,sample_id,flavor_id,flavor_name,label_type,image_path
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,1,1,IMG_2035_r01_c01.jpg,IMG_2035_r01_c01_render02,cocoashot_chocolate_cake,Chocolate Cake,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/cocoashot_chocolate_cake/IMG_2035_r01_c01_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,1,2,IMG_2035_r01_c02.jpg,IMG_2035_r01_c02_render02,cocoashot_whiskey,Whiskey,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/cocoashot_whiskey/IMG_2035_r01_c02_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,2,1,IMG_2035_r02_c01.jpg,IMG_2035_r02_c01_render02,truffle_brownie_batter,Brownie Batter,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/truffle_brownie_batter/IMG_2035_r02_c01_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,2,2,IMG_2035_r02_c02.jpg,IMG_2035_r02_c02_render02,truffle_cheesecake,Cheesecake,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/truffle_cheesecake/IMG_2035_r02_c02_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,3,1,IMG_2035_r03_c01.jpg,IMG_2035_r03_c01_render02,truffle_creamsicle,Creamsicle,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/truffle_creamsicle/IMG_2035_r03_c01_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,3,2,IMG_2035_r03_c02.jpg,IMG_2035_r03_c02_render02,truffle_espresso_martini,Espresso Martini,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/truffle_espresso_martini/IMG_2035_r03_c02_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,4,1,IMG_2035_r04_c01.jpg,IMG_2035_r04_c01_render02,truffle_lemon,Lemon,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/truffle_lemon/IMG_2035_r04_c01_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,4,2,IMG_2035_r04_c02.jpg,IMG_2035_r04_c02_render02,truffle_peanut_butter_caramel,Peanut Butter Caramel,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/truffle_peanut_butter_caramel/IMG_2035_r04_c02_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,5,1,IMG_2035_r05_c01.jpg,IMG_2035_r05_c01_render02,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/truffle_pumpkin_spice_latte/IMG_2035_r05_c01_render02.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v5_10_slot/images/IMG_2035_size10_render02.jpg,IMG_2035.jpg,10,2,5,2,IMG_2035_r05_c02.jpg,IMG_2035_r05_c02_render02,truffle_salted_caramel,Salted Caramel,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v2_10_slot/images/train/truffle_salted_caramel/IMG_2035_r05_c02_render02.jpg
