slot_file,slot_path,source_file,box_size,row,column,center_x,center_y,label,grid_annotation
IMG_2019_r01_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2019_r01_c01.jpg,IMG_2019.jpg,6,1,1,85.0,174.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2019.json
IMG_2019_r01_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2019_r01_c02.jpg,IMG_2019.jpg,6,1,2,299.0,178.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2019.json
IMG_2019_r02_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2019_r02_c01.jpg,IMG_2019.jpg,6,2,1,90.0,387.5,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2019.json
IMG_2019_r02_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2019_r02_c02.jpg,IMG_2019.jpg,6,2,2,299.5,389.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2019.json
IMG_2019_r03_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2019_r03_c01.jpg,IMG_2019.jpg,6,3,1,95.0,601.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2019.json
IMG_2019_r03_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2019_r03_c02.jpg,IMG_2019.jpg,6,3,2,300.0,600.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2019.json
IMG_2020_r01_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r01_c01.jpg,IMG_2020.jpg,6,1,1,142.0,195.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2020.json
IMG_2020_r01_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r01_c02.jpg,IMG_2020.jpg,6,1,2,370.0,191.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2020.json
IMG_2020_r02_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r02_c01.jpg,IMG_2020.jpg,6,2,1,143.5,409.5,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2020.json
IMG_2020_r02_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r02_c02.jpg,IMG_2020.jpg,6,2,2,364.0,411.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2020.json
IMG_2020_r03_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r03_c01.jpg,IMG_2020.jpg,6,3,1,145.0,624.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2020.json
IMG_2020_r03_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r03_c02.jpg,IMG_2020.jpg,6,3,2,358.0,631.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2020.json
IMG_2021_r01_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2021_r01_c01.jpg,IMG_2021.jpg,6,1,1,108.0,174.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2021.json
IMG_2021_r01_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2021_r01_c02.jpg,IMG_2021.jpg,6,1,2,337.0,174.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2021.json
IMG_2021_r02_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2021_r02_c01.jpg,IMG_2021.jpg,6,2,1,110.0,388.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2021.json
IMG_2021_r02_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2021_r02_c02.jpg,IMG_2021.jpg,6,2,2,336.5,390.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2021.json
IMG_2021_r03_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2021_r03_c01.jpg,IMG_2021.jpg,6,3,1,112.0,602.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2021.json
IMG_2021_r03_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2021_r03_c02.jpg,IMG_2021.jpg,6,3,2,336.0,606.0,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2021.json
IMG_2022_r01_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r01_c01.jpg,IMG_2022.jpg,16,1,1,194.56,190.17,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r01_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r01_c02.jpg,IMG_2022.jpg,16,1,2,419.84,193.1,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r01_c03.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r01_c03.jpg,IMG_2022.jpg,16,1,3,645.12,196.02,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r01_c04.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r01_c04.jpg,IMG_2022.jpg,16,1,4,870.4,198.95,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r02_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r02_c01.jpg,IMG_2022.jpg,16,2,1,186.27,416.43,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r02_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r02_c02.jpg,IMG_2022.jpg,16,2,2,414.15,420.82,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r02_c03.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r02_c03.jpg,IMG_2022.jpg,16,2,3,642.03,425.2,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r02_c04.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r02_c04.jpg,IMG_2022.jpg,16,2,4,869.91,429.59,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r03_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r03_c01.jpg,IMG_2022.jpg,16,3,1,177.98,642.68,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r03_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r03_c02.jpg,IMG_2022.jpg,16,3,2,408.46,648.53,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r03_c03.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r03_c03.jpg,IMG_2022.jpg,16,3,3,638.94,654.39,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r03_c04.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r03_c04.jpg,IMG_2022.jpg,16,3,4,869.43,660.24,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r04_c01.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r04_c01.jpg,IMG_2022.jpg,16,4,1,169.69,868.94,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
IMG_2022_r04_c02.jpg,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2022_r04_c02.jpg,IMG_2022.jpg,16,4,2,402.77,876.25,empty,/homes/mxqasim/Chocolathon/data/boxes/grid_annotations/IMG_2022.json
